  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Created        /private/var/mobile/Library/Caches/.dat.nosync01ee.px7w8N	
  494 timed	Modified       /private/var/mobile/Library/Caches/.dat.nosync01ee.px7w8N	
  494 timed	Renamed        /private/var/mobile/Library/Caches/.dat.nosync01ee.px7w8N	/private/var/mobile/Library/Caches/com.apple.timed.plist 
  494 timed	Chowned        /private/var/mobile/Library/Caches/com.apple.timed.plist	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Created        /private/var/mobile/Library/Caches/.dat.nosync01ee.HmN23I	
  494 timed	Modified       /private/var/mobile/Library/Caches/.dat.nosync01ee.HmN23I	
  494 timed	Renamed        /private/var/mobile/Library/Caches/.dat.nosync01ee.HmN23I	/private/var/mobile/Library/Caches/com.apple.timed.plist 
  494 timed	Chowned        /private/var/mobile/Library/Caches/com.apple.timed.plist	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Created        /private/var/mobile/Library/Caches/.dat.nosync01ee.E8OUoY	
  494 timed	Modified       /private/var/mobile/Library/Caches/.dat.nosync01ee.E8OUoY	
  494 timed	Renamed        /private/var/mobile/Library/Caches/.dat.nosync01ee.E8OUoY	/private/var/mobile/Library/Caches/com.apple.timed.plist 
  494 timed	Chowned        /private/var/mobile/Library/Caches/com.apple.timed.plist	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Modified       /private/var/mobile/Library/Logs/CoreTime.log	
  494 timed	Created        /private/var/mobile/Library/Caches/.dat.nosync01ee.7muO3f	
